Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,Standard deviation of inflation,Inflation: Most recent year, Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,MWI,Malawi,6.06,131,7.48,9.82,0,7,4,5.5,6.93,5.95,4.98,3.64,5.05,5.83,4.17,2.33,8.59,4.7,4.42,0.95,4.74,7.2,8.02,7.69,5,6.98,8.45,7.52,5.83,7.27,5.71,5.02,5.37,8.96,6.01,1.54,7.08,4.88,6.62,10,0,6,5.33,4.43,4.41,6.61,10,5.68,10,6.86,4.36,3.11,8.41,2.81,8.41,8.01,5.85,6.01
2017,MYS,Malaysia,7.34,52,6.46,8.86,4,9,9,9,3.9,6.44,6.38,6.56,7.46,8.33,6.67,4.96,8.63,7.53,6.35,0.6,5.57,4.39,9.32,9.23,10,8.23,9.85,8.86,4.62,7.78,6.58,8.53,7.55,10,6.68,0.77,10,5.82,7.79,10,8.92,10,9.64,10,6.54,7.45,10,4.24,10,8.04,6.53,10,9.45,6.02,10,7.89,8.32,8.67
2017,NAM,Namibia,6.53,106,4.03,8.75,4,6,6,6,5.77,5.71,7.12,5.78,7.01,10,8.33,4.82,4.63,5.52,4.76,0.98,6.36,8.55,8.52,8.77,0,6.46,4.53,8.48,5.65,6.22,5.7,5.27,5.49,10,6.15,0.77,5.75,4.22,6.48,10,6.45,10,8.82,10,4.54,6.32,10,8.27,10,8.19,4.82,4,7.78,4.25,8.31,6.61,5.96,7.66
2017,NER,Niger,5.83,142,6.14,9.84,4,7,3,5,6.22,6.24,5.35,4.4,4.1,3.33,3.33,4.4,7.26,,,0.63,3.74,9.36,9.52,9.44,0,7.08,3.82,7.56,7.02,6.13,5.05,4.37,4.71,10,,0.77,2.1,1.44,5.57,10,7.89,5,7.63,1.67,,,8,7.38,0,4.26,,4.89,9.65,,9.41,6.97,7.73,6.54
2017,NGA,Nigeria,6.86,81,10,9.87,10,9,5,7,6.08,8.59,3.96,2.94,4.58,3.33,3.33,4.85,4.8,3.19,3.44,0.74,3.32,8.96,8.63,6.7,10,8.57,,7.58,6.9,7.24,6.13,0,3.06,9.36,6.52,5.38,1.99,4.63,6.08,10,6.97,10,8.99,10,6.15,7.42,10,10,10,8.93,2.89,2,9.33,2.37,9.25,6.18,5.34,7.75
2017,NIC,Nicaragua,7.01,74,6.5,10,6,8,4,6,4.72,6.64,1.02,1.89,4.21,4.17,5.83,5.14,6.97,5.19,6.44,0.95,4.43,8.26,9.09,9.23,10,9.15,9.55,8.86,7.04,8.48,4.96,6.07,5.51,10,6.26,5.38,10,7.22,7.8,10,9.36,9,9.45,6.67,5.14,5.73,2,6.26,10,5.97,3.27,4,8.88,2.52,7.24,7.75,5.61,7.01
2017,NLD,Netherlands,7.72,25,1.3,3.83,8,2,2,2,6.56,4.34,8.97,7.17,8.56,10,10,5.14,7.95,8.44,6.79,1,8.11,8.16,9.8,9.72,10,9.42,9,8.98,6.7,8.23,7.08,9.96,8.52,10,7.43,8.46,7.74,7.88,8.66,5,10,10,8.33,6.67,5.72,5.16,10,7.53,10,7.51,5.61,9.56,9.84,8.09,8.29,8.67,8.34,8.06
2017,NOR,Norway,7.62,32,1.49,4.64,7,6,3,4.5,7.01,4.93,8.81,6.52,8.27,10,10,6.85,9.12,8.56,8.2,1,8.48,9.61,8.97,9.62,10,9.55,9.89,8.76,0,6.22,5.57,9.85,7.71,10,6.65,4.62,7.74,6.34,7.57,10,10,8,9.33,7.23,4.27,4.66,6,10,0,5.36,4.92,7.78,9.85,7.71,9.12,9.11,8.08,7.59
2017,NPL,Nepal,6.49,110,7.97,9.21,7,7,7,7,4.91,7.22,4.53,3.6,5.24,4.5,,3.37,8.34,5.29,5.26,0.81,4.54,8.69,9.27,9.27,0,6.81,5,7.58,5.45,6.01,5.5,6.22,5.86,10,3.92,0,10,4.64,6.63,8,10,10,9.33,6.67,3.61,5.48,10,2.6,10,6.39,3.7,5.11,9.24,2.92,8.98,6.04,6,7.24
2017,NZL,New Zealand,8.5,3,5.05,6.37,8,7,7,7,6.75,6.64,9.21,7.3,8.6,10,9.17,7.18,9.95,8.88,7.23,1,8.61,9,9.4,9.63,10,9.51,8.81,9.6,8.96,9.12,7.51,8.74,8.13,10,6.91,6.92,7.74,7.19,8.61,10,10,10,10,8.9,5.95,7.79,10,10,10,8.77,5.56,9.78,9.98,8.6,9.4,8.43,8.63,9.13
2017,OMN,Oman,6.76,89,0.21,8.13,0,10,10,10,3.87,4.44,6.97,6.03,7.63,8.33,8.33,5.04,8.05,8.83,8.8,0.64,6.18,9.38,5.89,9.68,10,8.74,9.63,8.88,5.05,7.85,6.12,7.57,6.84,10,5.25,5.38,7.3,5.98,7.67,10,0.94,9,6.65,7.77,4.46,7.08,2,,10,6.26,5.21,6.22,9.75,5.95,8.11,9.24,7.41,6.77
2017,PAK,Pakistan,5.91,136,8.21,9.22,4,8,8,8,5.67,7.02,4.53,4.3,4.56,2.5,5,3.69,6.41,4.15,3.56,0.69,3.63,8.55,8.94,9.18,0,6.67,7.93,7.58,5.89,7.13,4.92,3.26,4.09,10,4.94,0.77,0.77,2.16,5.85,8,6.26,10,8.09,1.1,4.92,5.17,6,2.6,10,4.97,4.37,5.33,9.4,3.7,6.61,6.71,6.02,6.36
2017,PAN,Panama,7.66,31,6.48,8.56,10,9,4,6.5,7.8,7.87,2.82,3.2,6.06,8.33,5,2.69,8.79,5.49,5.26,0.95,5.17,9.67,9.47,9.82,10,9.74,8.94,8.64,5.92,7.83,6.21,8.9,7.55,10,7.7,10,10,9.23,8.65,8,9.33,10,9.11,2.23,3.81,5.95,4,4.13,10,5.02,4.13,6.67,9.75,3.66,9.2,5.43,6.47,6.87
2017,PER,Peru,7.49,42,6.67,9.62,7,8,3,5.5,8.86,7.53,3.16,2.51,4.42,7.5,5,5.08,8.77,2.67,3.47,1,4.73,9.85,9.59,9.44,10,9.72,9.7,9.52,8.43,9.22,5.77,5.77,5.77,10,6.57,8.46,8.96,8,8.24,8,8.56,9,8.52,3.9,2.99,7.72,10,7.04,10,6.94,2.28,7.78,9.11,3.13,7.87,7.09,6.21,7.22
2017,PHL,Philippines,7.32,53,7.84,9.1,10,7,7,7,7.49,8.29,3.79,3.39,5.58,3.33,4.17,3.12,7.93,3.69,4.3,0.93,4.21,9.23,9.43,9.43,10,9.52,7.31,8.74,7.28,7.78,5.88,5.1,5.49,10,5.39,0.77,10,5.39,7.16,8,9.68,10,9.23,7.77,4.84,6.53,10,2.52,10,6.94,3.27,4.67,8.79,2.83,8.93,7.97,6.07,7.41
2017,PNG,Pap. New Guinea,6.36,115,3.29,7.66,8,5,5,5,6.49,6.09,4.27,4.1,4.12,7.5,5,1.01,6.93,5.65,3.04,0.81,4.18,9.51,7.47,8.92,0,6.47,6.61,9.06,6.09,7.25,6.06,4.14,5.1,10,6.03,7.69,7.08,6.93,7.32,10,5.12,10,8.37,7.77,,,10,7.01,10,8.69,,3.56,8.47,3.2,7.38,7.72,6.07,7.71
2017,POL,Poland,7.24,59,4.95,5.36,7,7,1,4,6.86,5.63,3.34,2.88,5.01,10,5.83,4.12,9.28,5.09,6.42,1,5.78,9.47,9.73,9.58,10,9.7,9,8.98,6.7,8.23,5.82,9.96,7.89,10,6.26,2.31,7.74,5.44,7.89,5,8.49,10,7.83,5.57,3.91,7.46,8,7.76,10,7.12,3.02,8.67,8.66,4.69,8.42,6.26,6.62,7.19
2017,PRT,Portugal,7.52,39,5.51,4.94,10,4,1,2.5,8.03,6.2,6.45,3.14,6.35,10,8.33,3.95,7.41,7.9,8.05,1,6.84,8.04,9.8,9.73,10,9.39,9,8.98,6.7,8.23,7.39,9.96,8.68,10,7.09,4.62,7.74,6.48,8.35,5,7.21,10,7.4,2.23,3.51,6.38,6,7.04,10,5.86,3.38,8.67,9.77,5.56,8.31,7.28,7.16,6.81
2017,PRY,Paraguay,7.03,72,7.5,8.83,8,10,7,8.5,8.69,8.3,1.66,2.37,4.74,2.5,3.33,4.07,8.54,2.88,4.7,1,3.87,9.48,8.96,9.28,10,9.43,8.99,8.04,6.82,7.95,5.49,5.96,5.72,10,6.24,3.85,6.75,5.61,7.32,8,9.76,9,8.92,4.43,3.78,6.88,6,2.6,1,4.12,3.96,4.67,8.46,2.46,8.94,5.76,5.71,6.25
2017,QAT,Qatar,7.07,69,0,9.61,6,10,10,10,2.83,5.69,6.71,6.74,7.09,6.67,8.33,4.86,9.67,8.15,9.02,0.64,6.14,8.9,5.17,9.92,10,8.5,9.31,9.04,6.45,8.27,6.63,7.46,7.05,10,5.84,4.62,4.09,4.85,7.54,5,10,9,8,10,6.38,7.5,4,4.82,5,6.28,5.74,5.56,9.67,8.17,9.97,9.54,8.11,7.46
2017,ROU,Romania,7.68,28,6.03,6.88,8,10,4,7,7.05,6.99,5.15,3.51,6.01,8.33,5,5.04,9.3,6.01,6.82,1,6.13,8.21,9.55,9.73,10,9.37,9,8.98,6.7,8.23,6.03,9.96,8,10,6.26,8.46,7.74,7.49,8.43,8,8.64,10,8.88,3.9,5.56,7.15,8,10,10,7.43,2.87,6.67,8.87,3.52,6.67,8.17,6.13,7.48
2017,RUS,Russia,6.78,85,4.25,5.81,10,10,5,7.5,4.1,6.33,4.02,3.91,4.43,6.67,5,6.88,9.72,4.9,5.91,0.69,4.83,8.63,9.33,9.26,10,9.31,5.99,8.66,6.78,7.15,4.84,7.17,6,10,4.18,4.62,3.76,4.19,6.83,5,9.67,10,8.22,4.45,5.14,6.06,6,8.5,3,5.52,3.86,2.89,9.68,4.04,7.77,8.12,6.06,6.6
2017,RWA,Rwanda,7.26,56,6.85,9.34,0,8,5,6.5,3.55,5.25,6.71,6.22,6.49,6.4,,3.73,9.83,7.71,8.3,1,6.92,9.25,9.11,8.34,10,9.18,8.61,7.46,5.22,7.1,5.15,5.72,5.44,10,6.62,9.23,1.88,5.91,7.11,5,7.53,9,7.18,10,5.38,6.54,10,7.76,10,8.28,6.15,7.33,9.72,7.29,9.05,8.93,8.08,7.84
2017,SAU,Saudi Arabia,6.52,107,0.81,9.54,4,10,10,10,1.67,5.2,7.14,5.81,6.99,8.33,8.33,,9.97,8.3,7.31,0.36,5.3,9.59,6.46,9.83,10,8.97,9.18,8.82,3.46,7.15,5.86,,5.86,10,4.65,1.54,0.55,2.25,6.32,5,3.84,10,6.28,8.33,5.39,7.49,6,4.39,10,6.93,5.38,3.11,9.35,6.57,9.42,9.56,7.23,6.82
2017,SDN,Sudan,4.67,160,9.61,,10,10,7,8.5,2.47,7.64,,3.6,,0,4.17,3.8,8.94,,,0.48,3.03,5.55,3.53,3.52,5,4.4,,5.7,3.89,4.8,,0.92,0.92,0,,6.15,0.89,3.52,2.31,,6.23,,6.23,8.33,,,8,2.52,0,4.71,,4,8.68,,7,7.98,6.92,5.95
2017,SEN,Senegal,6.17,124,6.91,9.99,6,5,5,5,7.18,7.02,4.37,5.06,5.53,4.17,5,2.79,6.73,6.74,5.4,0.68,4.28,9.51,9.63,9.74,0,7.22,7.47,7.56,7.02,7.35,5.1,6.25,5.67,10,5.83,0.77,4.76,3.79,6.7,10,7.58,5,7.53,0,4.2,6.09,4,7.19,0,3.58,4.38,3.78,9.46,4,8.01,5.06,5.78,5.63
2017,SGP,Singapore,8.71,2,4.9,9.19,8,10,10,10,3.93,7.2,7.78,7.32,8.9,8.33,8.33,7.66,8.96,9.2,8.36,0.98,8.22,9.98,9.54,9.88,10,9.85,10,10,10,10,8.17,9.2,8.69,10,8.53,6.92,10,8.48,9.29,10,10,10,10,10,7.62,8.4,10,10,0,7.67,7.63,10,9.95,8.76,9.99,9.28,9.27,8.98
2017,SLE,Sierra Leone,5.63,147,8.81,10,4,7,4,5.5,6.4,6.94,3.45,3.46,4.47,4.17,5.83,4.18,5.42,4.13,4.54,0.76,3.88,7.85,6.98,6.36,5,6.54,8.99,7.62,7.14,7.92,4.47,3.42,3.94,10,5.24,0,1.77,2.34,6.05,2,0,9,3.67,3.33,4.12,5.54,8,0,10,5.16,3.9,2,9.66,2.74,7.91,6.16,5.39,4.74
2017,SLV,El Salvador,7.16,63,7.13,9.32,8,8,8,8,9.58,8.41,3.68,2.49,4.12,4.17,2.5,3.83,8.17,2.42,0.78,1,3.57,9.81,9.81,9.8,10,9.85,9.22,8.8,6.64,8.22,4.75,8.55,6.65,10,5.29,3.85,7.85,5.66,7.63,8,9.64,10,9.21,4.43,3.4,7.07,6,2.6,3,4.42,2.39,4.44,8.99,2.51,5.79,7.98,5.35,6.33
2017,SRB,Serbia,6.89,80,6.44,3.69,8,10,5,7.5,6.23,6.37,3.17,2.95,4.19,6.67,5.83,3.2,8.68,5,5.59,1,5.03,9.12,9.45,9.37,5,8.24,9.27,8.52,7.16,8.32,5.15,9.77,7.46,10,5.63,1.54,6.97,4.71,7.62,8,7.39,9,8.13,2.23,4.47,7.05,10,7.51,10,6.88,2.82,6.22,9.8,3.61,9.19,7.47,6.52,7.17
2017,SUR,Suriname,6.65,98,3.9,8.58,10,5,5,5,4.36,6.37,4.23,5.3,5.56,5,5,2.75,4.63,3.16,7.08,0.98,4.69,8.81,4.53,5.6,10,7.24,8.39,7.92,6.13,7.48,6.71,6.83,6.77,10,6.63,0,7.3,4.64,7.22,8,8.97,9,8.66,8.9,,,10,7.01,10,8.98,,1.33,6.89,4.49,7.28,7.77,5.55,7.73
2017,SVK,Slovak Rep,7.51,40,4.13,4.98,10,9,2,5.5,7.85,6.49,2.95,2.14,5.44,10,6.67,3.75,9.69,4.16,6.33,1,5.68,8.39,9.72,9.74,10,9.46,9,8.98,6.7,8.23,5.96,9.96,7.96,10,7.88,5.38,7.74,7,8.3,10,9.65,10,9.88,5.57,3.6,6.58,8,7.76,10,6.92,2.35,7.56,9.09,3.02,6.03,7.85,5.98,7.59
2017,SVN,Slovenia,7.15,67,4.2,5.11,8,4,0,2,6.95,5.25,4.4,3.12,5.73,9.17,7.5,4.23,8.32,7.19,7.71,0.95,6.22,8.1,9.8,9.71,10,9.41,9,8.98,6.7,8.23,6.21,9.96,8.09,10,4.98,3.08,7.74,5.27,7.9,5,10,10,8.33,2.23,2.55,5.81,8,8.13,10,6.12,2.74,7.56,9.62,4.78,6.88,7.39,6.49,6.98
2017,SWE,Sweden,7.56,35,0.84,4.81,8,2,0,1,8.06,4.54,8.2,6.72,8.08,9.17,10,4.98,8.45,7.15,6.96,1,7.75,7.75,9.82,9.64,10,9.3,9,8.98,6.7,8.23,6.78,9.92,8.35,10,7.6,3.08,7.74,6.14,8.18,10,10,8,9.33,6.67,4.4,4.53,6,10,10,6.93,5.35,6.67,9.74,7.84,9.01,8.63,7.87,8.05
2017,SWZ,Swaziland (Eswatini),6.52,107,4.73,9.88,0,7,7,7,4.67,5.25,4.48,3.84,5.11,5.5,,1.59,7.27,7.22,7.13,0.85,4.88,8.66,8.47,8.76,5,7.72,0,8.48,5.59,4.69,5.86,9.81,7.83,10,6.13,0.77,9.62,5.51,7.01,8,8.33,10,8.78,8.9,5.45,5.25,10,6.89,10,7.75,4.58,4,8.88,5.01,9.02,8.63,6.69,7.74
2017,SYC,Seychelles,7.16,63,1.75,8.57,8,10,10,10,3.06,6.27,5.28,4.77,5.84,8.1,,4.06,7.08,5.91,5.57,0.98,5.76,8.3,8.65,9.43,10,9.09,9.25,8.02,0,5.76,6.04,5.32,5.68,9.59,5.97,8.46,10,8.14,7.29,5,9.65,9,7.88,8.9,4.62,5.34,8,7.53,10,7.4,5.03,6,8.83,3.48,8.67,9.05,6.84,7.38
2017,SYR,Syria,5.05,155,6.82,8.97,2,9,5,7,3.83,5.72,3.1,1.9,5.86,3.33,7.5,3.22,4.09,,6.11,0.48,3.24,9.48,0,4.23,10,5.93,8.37,6.7,0.63,5.23,4.6,2.82,3.71,9.13,4.57,0.83,0,1.8,4.97,2,4.76,10,5.59,8.33,4.98,4.74,6,10,0,5.68,3.81,0.89,9.18,4.13,,6.23,4.85,5.37
2017,TCD,Chad,5.42,150,10,9.92,8,1,1,1,8.23,7.43,1.84,2.83,3.29,2.7,,2.22,6.51,2.9,3.25,0.7,2.72,8.8,8.68,9.82,0,6.83,,6.42,6.21,6.31,3.67,0.77,2.22,10,3.46,1.54,1.44,2.15,5.17,2,5.88,10,5.96,5,4.21,6.14,6,7.94,3,5.38,3.42,0.89,6.25,2.06,7.21,1.41,3.54,4.96
2017,TGO,Togo,6.21,121,7.31,9.95,2,7,,7,6.29,6.51,,4.3,7.99,4.17,5,3.9,6.47,,,0.98,5.24,8.93,9.21,9.8,0,6.98,7.58,7.56,7.02,7.39,4.87,3.29,4.08,10,,0.77,1.66,1.21,5.67,10,10,5,8.33,1.67,,,8,7.01,0,4.17,,3.78,9.36,,8.25,8.22,7.4,6.63
2017,THA,Thailand,6.86,81,4.37,9.21,6,8,8,8,6.33,6.78,5.13,4.45,5.26,3.33,4.17,6.27,7.46,4.64,5.19,0.83,4.67,9.82,9.68,9.87,5,8.59,9.68,8.1,4.41,7.4,5.74,8,6.87,10,6.45,1.54,6.08,4.69,7.24,8,9.89,10,9.3,5.57,5.56,5.71,10,1.37,0,4.7,4.3,7.33,9.82,4.05,8.99,7.43,6.99,7
2017,TJK,Tajikistan,6.05,132,6.53,9.06,0,10,7,8.5,1.34,5.09,5.46,5.3,5.74,4.5,,5.67,8.37,6.23,6.46,0.69,5.04,7.5,9.13,8.54,5,7.54,9.19,8.46,7.75,8.47,5.4,3.99,4.69,8,4.52,2.31,1,2.61,5.94,8,8.53,7,7.84,5.57,5.73,7.36,8,7.76,0,5.73,5.58,2.44,9.46,4.96,7.95,7.49,6.31,6.63
2017,TLS,Timor-Leste,5.99,133,0,8.63,0,10,10,10,3.62,4.45,3.85,3.5,3,6.4,,0,,1.4,4.73,1,3.27,7.4,5.15,9.89,10,8.11,9.68,9.5,10,9.73,3.93,5.05,4.49,10,5.34,8.46,,6.9,7.78,,6.4,4,5.2,2.23,,,8,8.96,10,7.3,,4.89,9.58,3.51,7.54,6.91,6.49,6.33
2017,TTO,Trinidad & Tobago,6.7,91,6.43,7.89,0,9,6,7.5,5.2,5.4,5.8,3.22,5.61,8.33,3.33,2.96,6.21,3.14,2.88,0.98,4.56,9.67,7.13,9.62,10,9.11,8.9,7.86,5.81,7.52,6.43,6.18,6.31,10,6.04,6.15,10,7.4,7.81,8,0,10,6,10,4.14,6.04,10,5.14,10,7.55,3.83,6.67,9.66,2.94,6.79,7.65,6.25,6.6
2017,TUN,Tunisia,6.2,122,5.15,6.41,7,7,2,4.5,5.1,5.63,4.78,4.22,5.87,6.67,8.33,4.88,7.26,5.72,5.27,0.8,5.29,9.02,9.63,8.93,0,6.9,8.83,7.68,5.27,7.26,4.75,7.26,6,8.59,5.44,0.77,9.4,5.2,6.76,5,6.67,10,7.22,6.1,2.95,4.63,10,5.51,3,5.36,3.36,5.33,9.7,3.98,9.36,8.39,6.69,6.42
2017,TUR,Turkey,6.67,95,5.96,6.54,7,7,7,7,6.5,6.6,3.25,3.24,5.26,3.33,5,4.36,8.59,5.37,5.76,0.88,4.62,8.3,9.32,7.77,10,8.85,9.47,7.82,0.58,5.96,5.87,9.36,7.61,10,5.84,2.31,8.41,5.52,7.27,5,8.9,5,6.3,5.57,4.13,7.06,8,2.52,1,4.71,3.99,7.11,9.66,4.35,9.23,8.09,7.07,6.03
2017,TWN,Taiwan,7.85,19,5.55,9.28,8,6,6,6,8.08,7.38,5.76,4.53,7.56,6.67,8.33,5.51,7.89,7.59,7.02,1,6.76,9.73,9.39,9.88,10,9.75,9.53,8.72,4.85,7.7,6.42,8.76,7.59,10,6.02,,5.2,5.61,7.73,5,9.24,10,8.08,5.57,6.1,8.22,10,6.26,5,6.86,5.04,9.56,9.66,6.51,9.58,7.52,7.98,7.64
2017,TZA,Tanzania,6.77,87,6.5,10,7,8,4,6,3.79,6.66,4.62,4.68,5.22,6.67,8.33,5.71,7.02,5.65,5.12,0.93,5.69,9.92,9.21,8.94,5,8.27,7.34,7.42,5.1,6.62,4.85,0.8,2.82,10,4.98,1.54,10,5.51,6.24,8,8.27,10,8.76,5.57,4.38,5.85,10,8.27,5,6.51,4.38,2,8.5,3.89,7.91,7.68,5.73,7
2017,UGA,Uganda,7.39,48,8.94,10,8,5,3,4,6.46,7.48,3.94,4.12,5.07,3.33,5.83,4.87,8.19,4.52,4.08,0.93,4.71,9.06,9.4,8.96,10,9.35,7.72,7.46,5.22,6.8,6.01,4.62,5.32,10,6.75,8.46,10,8.4,7.63,8,8.51,9,8.5,10,5.51,8.43,8,10,10,8.66,4.32,4.22,8.88,2.98,9.05,7.81,6.21,7.79
2017,UKR,Ukraine,5.96,135,4.86,5.45,10,10,7,8.5,6.97,7.16,2.58,2.93,3.84,8.33,6.67,4.8,9.09,4.52,5.21,0.67,4.44,7.82,5.01,7.11,0,4.99,9.46,9.1,7.95,8.84,4.86,6.53,5.7,9.36,3.78,0,5.86,3.22,6.78,5,9.36,9,7.79,5.57,5.21,4.74,6,9.25,0,5.13,3.94,6,9.79,2.94,9.52,6.33,6.42,6.44
2017,URY,Uruguay,7.05,70,6.56,5.9,7,7,6,6.5,5.64,6.32,7.53,4.4,6.53,5.83,4.17,3.59,6.45,5.27,4.44,0.95,5.23,8.23,9.16,8.76,10,9.04,8.44,7.94,6.87,7.75,5.71,6.22,5.96,10,6.97,8.46,7.74,7.73,7.86,5,8.1,9,7.37,8.9,2.89,2.37,8,4.61,10,6.13,3,7.56,9.55,6.28,6.82,8.17,6.9,6.8
2017,USA,United States,8.19,5,6.76,6.03,8,5,5,5,10,7.16,7.71,7.59,7.92,6.67,8.33,5.23,8.99,8.15,6.34,1,7.44,9.74,9.88,9.57,10,9.8,9.49,9.32,6.5,8.44,7.04,9.76,8.4,10,7.17,3.85,0.55,3.86,7.67,10,8,10,9.33,9.45,7.57,7.92,10,10,10,9.16,6.42,8.22,9.8,6.49,9.64,8.04,8.1,8.86
2017,VEN,Venezuela,2.58,162,8.58,5.77,0,7,6,6.5,2.04,4.58,0.22,0.62,1.15,0.83,1.67,2.38,8.06,1.28,1.61,1,1.98,2.77,0,0,0,0.69,8.45,7.24,6.08,7.26,4.09,0,2.04,0,3.12,0,7.19,3.44,3.18,5,0,5,3.33,0,0.92,5.63,4,,0,2.11,1.11,0,3.33,1.52,4.99,1.12,2.01,2.49
2017,VNM,Vietnam,6.27,119,9.2,,6,7,5,6,5.6,6.7,4.18,3.97,4.89,5,6.67,5.69,8.79,5.54,6.09,0.77,5,8.25,9.15,9.3,0,6.68,9.12,8.08,5.47,7.56,4.81,5.75,5.28,10,5.18,0.77,0.77,2.24,6.27,,7.91,10,8.95,7.77,5.09,6.19,10,2.52,0,5.26,3.66,6.44,9.39,3.66,8.21,4.42,5.96,6.73
2017,YEM,"Yemen, Rep.",5.84,140,10,9.02,4,10,8,9,3.52,7.11,2.38,2.63,3.1,4.17,3.33,3.78,9.05,2.59,3.21,0.66,3.16,9.91,6.89,5.06,10,7.96,8.92,8.48,7.81,8.4,4.04,10,7.02,4.8,2.56,6.92,1,3.49,5.93,,0,10,5,6.67,3.1,6.43,8,2.52,10,6.12,3.14,0,7.46,2.11,,7.22,3.99,5.04
2017,ZAF,South Africa,6.61,101,4.1,8.12,4,5,4,4.5,8.13,5.77,6.11,5.12,5.39,8.33,3.33,3.93,7,3.65,2.59,1,5.05,9.02,9.7,8.96,5,8.17,8.8,8.48,4.83,7.37,5.46,4.68,5.07,10,6,0.77,8.3,5.02,6.87,10,7.53,10,9.18,5.57,3.48,4.32,8,8.27,10,6.61,3.69,3.56,8.72,2.83,8.39,7.65,5.8,7.2
2017,ZMB,Zambia,6.84,83,6.05,10,4,5,4,4.5,8.5,6.61,3.7,3.67,5.48,8.33,6.67,3.51,5.96,4.53,5.68,0.98,5.22,7.87,8.63,8.68,10,8.8,8.99,7.22,1.27,5.83,5.28,2.43,3.86,10,6.89,9.23,10,8.71,7.1,5,7.55,10,7.52,4.43,4.74,7.12,8,0,10,5.72,4.39,4,9.38,3.14,7.83,8.16,6.15,6.46
2017,ZWE,Zimbabwe,5.69,145,5.46,9.33,6,4,4,4,2.67,5.49,3.26,3.37,2.6,3.33,5,2.37,6.82,4,5.72,1,4.05,9.37,9.48,9.82,5,8.42,6.19,6.56,1.61,4.79,4.85,1.33,3.09,3,3.51,0,8.85,4.12,3.75,8,9.31,10,9.1,6.67,2.79,3.03,8,6.26,10,6.12,1.92,2.67,7.81,2.61,7.49,7.29,4.96,6.73
